id;documento
35;"Mal nos conhecemos
Inauguramos a palavra amigo!

Amigo é um sorriso
De boca em boca,
Um olhar bem limpo

Uma casa, mesmo modesta, que se oferece.
Um coração pronto a pulsar
Na nossa mão!

Amigo (recordam-se, vocês aí,
Escrupulosos detritos?)
Amigo é o contrário de inimigo!

Amigo é o erro corrigido,
Não o erro perseguido, explorado.
É a verdade partilhada, praticada.

Amigo é a solidão derrotada!

Amigo é uma grande tarefa,
Um trabalho sem fim,
Um espaço útil, um tempo fértil,
Amigo vai ser, é já uma grande festa!"
36;"Devia morrer-se de outra maneira.
Transformarmo-nos em fumo, por exemplo.
Ou em nuvens.
Quando nos sentíssemos cansados, fartos do mesmo sol
a fingir de novo todas as manhãs, convocaríamos
os amigos mais íntimos com um cartão de convite
para o ritual do Grande Desfazer: ""Fulano de tal comunica
a V. Exa. que vai transformar-se em nuvem hoje
às 9 horas. Traje de passeio"".
E então, solenemente, com passos de reter tempo, fatos
escuros, olhos de lua de cerimônia, viríamos todos assistir
a despedida.
Apertos de mãos quentes. Ternura de calafrio.
""Adeus! Adeus!""
E, pouco a pouco, devagarinho, sem sofrimento,
numa lassidão de arrancar raízes...
(primeiro, os olhos... em seguida, os lábios... depois os cabelos... )
a carne, em vez de apodrecer, começaria a transfigurar-se
em fumo... tão leve... tão sutil... tão pòlen...
como aquela nuvem além (vêem?) — nesta tarde de outono
ainda tocada por um vento de lábios azuis..."
37;"Quando eu nasci,
ficou tudo como estava,
Nem homens cortaram veias,
nem o Sol escureceu,
nem houve Estrelas a mais...
Somente,
esquecida das dores,
a minha Mãe sorriu e agradeceu.

Quando eu nasci,
não houve nada de novo
senão eu.

As nuvens não se espantaram,
não enlouqueceu ninguém...

P'ra que o dia fosse enorme,
bastava
toda a ternura que olhava
nos olhos de minha Mãe..."
38;"Permita que eu feche os meus olhos,
pois é muito longe e tão tarde!
Pensei que era apenas demora,
e cantando pus-me a esperar-te.

Permite que agora emudeça:
que me conforme em ser sozinha.
Há uma doce luz no silencio,
e a dor é de origem divina.

Permite que eu volte o meu rosto
para um céu maior que este mundo,
e aprenda a ser dócil no sonho
como as estrelas no seu rumo.

"
39;"Seus olhos tão negros, tão belos, tão puros,
De vivo luzir, 
Estrelas incertas, que as águas dormentes 
Do mar vão ferir;

Seus olhos tão negros, tão belos, tão puros, 
Têm meiga expressão, 
Mais doce que a brisa, — mais doce que o nauta 
De noite cantando, — mais doce que a frauta 
Quebrando a solidão,

Seus olhos tão negros, tão belos, tão puros, 
De vivo luzir, 
São meigos infantes, gentis, engraçados 
Brincando a sorrir.

São meigos infantes, brincando, saltando 
Em jogo infantil, 
Inquietos, travessos; — causando tormento, 
Com beijos nos pagam a dor de um momento, 
Com modo gentil.

Seus olhos tão negros, tão belos, tão puros, 
Assim é que são; 
Às vezes luzindo, serenos, tranquilos, 
Às vezes vulcão!

Às vezes, oh! sim, derramam tão fraco, 
Tão frouxo brilhar, 
Que a mim me parece que o ar lhes falece, 
E os olhos tão meigos, que o pranto humedece 
Me fazem chorar.

Assim lindo infante, que dorme tranquilo, 
Desperta a chorar; 
E mudo e sisudo, cismando mil coisas, 
Não pensa — a pensar.

Nas almas tão puras da virgem, do infante, 
Às vezes do céu 
Cai doce harmonia duma Harpa celeste, 
Um vago desejo; e a mente se veste 
De pranto co'um véu.

Quer sejam saudades, quer sejam desejos 
Da pátria melhor; 
Eu amo seus olhos que choram em causa 
Um pranto sem dor.

Eu amo seus olhos tão negros, tão puros, 
De vivo fulgor; 
Seus olhos que exprimem tão doce harmonia, 
Que falam de amores com tanta poesia, 
Com tanto pudor.

Seus olhos tão negros, tão belos, tão puros, 
Assim é que são; 
Eu amo esses olhos que falam de amores 
Com tanta paixão."
40;"""Vem por aqui"" - dizem-me alguns com os olhos doces 
Estendendo-me os braços, e seguros 
De que seria bom que eu os ouvisse 
Quando me dizem: ""vem por aqui!"" 
Eu olho-os com olhos lassos, 
(Há, nos olhos meus, ironias e cansaços) 
E cruzo os braços, 
E nunca vou por ali... 

A minha glória é esta: 
Criar desumanidade! 
Não acompanhar ninguém. 
- Que eu vivo com o mesmo sem-vontade 
Com que rasguei o ventre à minha mãe 

Não, não vou por aí! Só vou por onde 
Me levam meus próprios passos... 

Se ao que busco saber nenhum de vós responde 
Por que me repetis: ""vem por aqui!""? 

Prefiro escorregar nos becos lamacentos, 
Redemoinhar aos ventos, 
Como farrapos, arrastar os pés sangrentos, 
A ir por aí... 

Se vim ao mundo, foi 
Só para desflorar florestas virgens, 
E desenhar meus próprios pés na areia inexplorada! 
O mais que faço não vale nada. 

Como, pois sereis vós 
Que me dareis impulsos, ferramentas e coragem 
Para eu derrubar os meus obstáculos?... 
Corre, nas vossas veias, sangue velho dos avós, 
E vós amais o que é fácil! 
Eu amo o Longe e a Miragem, 
Amo os abismos, as torrentes, os desertos... 

Ide! Tendes estradas, 
Tendes jardins, tendes canteiros, 
Tendes pátria, tendes tectos, 
E tendes regras, e tratados, e filósofos, e sábios... 
Eu tenho a minha Loucura ! 
Levanto-a, como um facho, a arder na noite escura, 
E sinto espuma, e sangue, e cânticos nos lábios... 

Deus e o Diabo é que guiam, mais ninguém. 
Todos tiveram pai, todos tiveram mãe; 
Mas eu, que nunca principio nem acabo, 
Nasci do amor que há entre Deus e o Diabo. 

Ah, que ninguém me dê piedosas intenções! 
Ninguém me peça definições! 
Ninguém me diga: ""vem por aqui""! 
A minha vida é um vendaval que se soltou. 
É uma onda que se alevantou. 
É um átomo a mais que se animou... 
Não sei por onde vou, 
Não sei para onde vou 
- Sei que não vou por aí!"
41;"Mudam-se os tempos, mudam-se as vontades,
muda-se o ser, muda-se a confiança;
todo o Mundo é composto de mudança,
tomando sempre novas qualidades.

Continuamente vemos novidades,
diferentes em tudo da esperança;
do mal ficam as mágoas na lembrança,
e do bem (se algum houve), as saudades.

O tempo cobre o chão de verde manto,
que já coberto foi de neve fria,
e, enfim, converte em choro o doce canto.

E, afora este mudar-se cada dia,
outra mudança faz de mor espanto,
que não se muda já como soía.

"
42;"Eu faço versos como quem chora
De desalento... de desencanto...
Fecha o meu livro, se por agora
Não tens motivo nenhum de pranto.

Meu verso é sangue. Volúpia ardente...
Tristeza esparsa... remorso vão...
Dói-me nas veias. Amargo e quente,
Cai, gota a gota, do coração.

E nestes versos de angústia rouca
Assim dos lábios a vida corre,
Deixando um acre sabor na boca.

- Eu faço versos como quem morre."
43;"Sexta-feira à noite
os homens acariciam o clitóris das esposas
com dedos molhados de saliva.
O mesmo gesto com que todos os dias
contam dinheiro papéis documentos
e folheiam nas revistas
a vida dos seus ídolos.

Sexta-feira à noite
os homens penetram suas esposas
com tédio e pênis.
O mesmo tédio com que todos os dias
enfiam o carro na garagem
o dedo no nariz
e metem a mão no bolso
para coçar o saco.

Sexta-feira à noite
os homens ressonam de borco
enquanto as mulheres no escuro
encaram seu destino
e sonham com o príncipe encantado.

"
44;"Chega um tempo em que não se diz mais: meu Deus. 
Tempo de absoluta depuração. 
Tempo em que não se diz mais: meu amor. 
Porque o amor resultou inútil. 
E os olhos não choram. 
E as mãos tecem apenas o rude trabalho. 
E o coração está seco. 

Em vão mulheres batem à porta, não abrirás. 
Ficaste sozinho, a luz apagou-se, 
mas na sombra teus olhos resplandecem enormes. 
És todo certeza, já não sabes sofrer. 
E nada esperas de teus amigos. 

Pouco importa venha a velhice, que é a velhice? 
Teus ombros suportam o mundo 
e ele não pesa mais que a mão de uma criança. 
As guerras, as fomes, as discussões dentro dos edifícios 
provam apenas que a vida prossegue 
e nem todos se libertaram ainda. 
Alguns, achando bárbaro o espetáculo 
prefeririam (os delicados) morrer. 
Chegou um tempo em que não adianta morrer. 
Chegou um tempo que a vida é uma ordem. 
A vida apenas, sem mistificação."
45;"No mistério do sem-fim 
equilibra-se um planeta. 

E, no planeta, um jardim, 
e, no jardim, um canteiro; 
no canteiro uma violeta, 
e, sobre ela, o dia inteiro,

entre o planeta e o sem-fim, 
a asa de uma borboleta"
46;"A hora da partida soa quando 
Escurece o jardim e o vento passa, 
Estala o chão e as portas batem, quando 
A noite cada nó em si deslaça. 

A hora da partida soa quando 
as árvores parecem inspiradas 
Como se tudo nelas germinasse. 

Soa quando no fundo dos espelhos 
Me é estranha e longínqua a minha face 
E de mim se desprende a minha vida."
47;"Assim eu quereria o meu último poema.
Que fosse terno dizendo as coisas mais simples e menos intencionais
Que fosse ardente como um soluço sem lágrimas
Que tivesse a beleza das flores quase sem perfume
A pureza da chama em que se consomem os diamantes mais límpidos
A paixão dos suicidas que se matam sem explicação."
48;"A maior solidão é a do ser que não ama. A maior solidão é a dor do ser que se ausenta, que se defende, que se fecha, que se recusa a participar da vida humana.

A maior solidão é a do homem encerrado em si mesmo, no absoluto de si mesmo,
o que não dá a quem pede o que ele pode dar de amor, de amizade, de socorro.

O maior solitário é o que tem medo de amar, o que tem medo de ferir e ferir-se,
o ser casto da mulher, do amigo, do povo, do mundo. Esse queima como uma lâmpada triste, cujo reflexo entristece também tudo em torno. Ele é a angústia do mundo que o reflete. Ele é o que se recusa às verdadeiras fontes de emoção, as que são o patrimônio de todos, e, encerrado em seu duro privilégio, semeia pedras do alto de sua fria e desolada torre."
49;"O amor é uma companhia.
Já não sei andar só pelos caminhos,
Porque já não posso andar só.
Um pensamento visível faz-me andar mais depressa
E ver menos, e ao mesmo tempo gostar bem de ir vendo tudo.

Mesmo a ausência dela é uma coisa que está comigo.
E eu gosto tanto dela que não sei como a desejar.
Se a não vejo, imagino-a e sou forte como as árvores altas.
Mas se a vejo tremo, não sei o que é feito do que sinto na ausência dela.

Todo eu sou qualquer força que me abandona.
Toda a realidade olha para mim como um girassol com a cara dela no meio.

"
50;"Tome-se um homem,
Feito de nada, como nós,
E em tamanho natural.
Embeba-se-lhe a carne,
Lentamente,
Duma certeza aguda, irracional,
Intensa como o ódio ou como a fome.
Depois, perto do fim,
Agite-se um pendão
E toque-se um clarim.

Serve-se morto.

"
51;"Vale a pena ser discreto?
Não sei bem se vale a pena.
O melhor é estar quieto
E ter a cara serena."
52;"Amo-te tanto meu amor... não cante
O humano coração com mais verdade...
Amo-te como amigo e como amante
Numa sempre diversa realidade.

Amo-te enfim, de um calmo amor prestante
E te amo além, presente na saudade.
Amo-te, enfim, com grande liberdade
Dentro da eternidade e a cada instante.

Amo-te como um bicho, simplesmente
De um amor sem mistério e sem virtude
Com um desejo maciço e permanente.

E de te amar assim, muito e amiúde
É que um dia em teu corpo de repente
Hei de morrer de amar mais do que pude."
53;"Não me peças palavras, nem baladas,
Nem expressões, nem alma...Abre-me o seio,
Deixa cair as pálpebras pesadas,
E entre os seios me apertes sem receio.

Na tua boca sob a minha, ao meio,
Nossas línguas se busquem, desvairadas...
E que os meus flancos nus vibrem no enleio
Das tuas pernas ágeis e delgadas.

E em duas bocas uma língua..., - unidos,
Nós trocaremos beijos e gemidos,
Sentindo o nosso sangue misturar-se.

Depois... - abre os teus olhos, minha amada!
Enterra-os bem nos meus; não digas nada...
Deixa a Vida exprimir-se sem disfarce!
"
54;"Que nenhuma estrela queime o teu perfil
Que nenhum deus se lembre do teu nome
Que nem o vento passe onde tu passas.

Para ti criarei um dia puro
Livre como o vento e repetido
Como o florir das ondas ordenadas."
55;"Posso escrever os versos mais tristes esta noite.
Escrever, por exemplo: ""A noite está estrelada,
e tiritam, azuis, os astros lá ao longe"".
O vento da noite gira no céu e canta.

Posso escrever os versos mais tristes esta noite.
Eu amei-a e por vezes ela também me amou.
Em noites como esta tive-a em meus braços.
Beijei-a tantas vezes sob o céu infinito.

Ela amou-me, por vezes eu também a amava.
Como não ter amado os seus grandes olhos fixos.
Posso escrever os versos mais tristes esta noite.
Pensar que não a tenho. Sentir que já a perdi.

Ouvir a noite imensa, mais imensa sem ela.
E o verso cai na alma como no pasto o orvalho.
Importa lá que o meu amor não pudesse guardá-la.
A noite está estrelada e ela não está comigo.

Isso é tudo. Ao longe alguém canta. Ao longe.
A minha alma não se contenta com havê-la perdido.
Como para chegá-la a mim o meu olhar procura-a.
O meu coração procura-a, ela não está comigo.

A mesma noite que faz branquejar as mesmas árvores.
Nós dois, os de então, já não somos os mesmos.
Já não a amo, é verdade, mas tanto que a amei.
Esta voz buscava o vento para tocar-lhe o ouvido.

De outro. Será de outro. Como antes dos meus beijos.
A voz, o corpo claro. Os seus olhos infinitos.
Já não a amo, é verdade, mas talvez a ame ainda.
É tão curto o amor, tão longo o esquecimento.

Porque em noites como esta tive-a em meus braços,
a minha alma não se contenta por havê-la perdido.
Embora seja a última dor que ela me causa,
e estes sejam os últimos versos que lhe escrevo."
56;"Se as coisas são inatingíveis... ora!
não é motivo para não querê-las.
Que tristes os caminhos, se não fora
a mágica presença das estrelas!"
57;"Quando a luz dos olhos meus
E a luz dos olhos teus
Resolvem se encontrar
Ai que bom que isso é meu Deus
Que frio que me dá o encontro desse olhar
Mas se a luz dos olhos teus
Resiste aos olhos meus só pra me provocar
Meu amor, juro por Deus me sinto incendiar

Meu amor, juro por Deus
Que a luz dos olhos meus já não pode esperar
Quero a luz dos olhos meus
Na luz dos olhos teus sem mais lará-lará
Pela luz dos olhos teus
Eu acho meu amor que só se pode achar
Que a luz dos olhos meus precisa se casar.

"
58;Bebido o luar, ébrios de horizontes,  Julgamos que viver era abraçar  O rumor dos pinhais, o azul dos montes  E todos os jardins verdes do mar.   Mas solitários somos e passamos,  Não são nossos os frutos nem as flores,  O céu e o mar apagam-se exteriores  E tornam-se os fantasmas que sonhamos.   Por que jardins que nós não colheremos,  Límpidos nas auroras a nascer,  Por que o céu e o mar se não seremos  Nunca os deuses capazes de os viver.
59;e ao anoitecer adquires nome de ilha ou de vulcão  deixas viver sobre a pele uma criança de lume  e na fria lava da noite ensinas ao corpo  a paciência o amor o abandono das palavras  o silêncio  e a difícil arte da melancolia
60;"Eu deixarei que morra
em mim o desejo de amar os teus olhos que são doces
Porque nada te poderei dar senão a mágoa de me veres eternamente exausto.
No entanto a tua presença é qualquer coisa como  a luz e a vida
E eu sinto que em meu gesto existe o teu gesto e em minha voz a tua voz.
Não te quero ter porque em meu ser tudo estaria terminado.
Quero só que surjas em mim como a fé nos desesperados
Para que eu possa levar uma gota de orvalho nesta terra amaldiçoada
Que ficou sobre a minha carne como nódoa do passado.
Eu deixarei... tu irás e encostarás a tua face em outra face.
Teus dedos enlaçarão outros dedos e tu desabrocharás para a madrugada.
Mas tu não saberás que quem te colheu fui eu, porque eu fui o grande íntimo da noite.
Porque eu encostei minha face na face da noite e  ouvi a tua fala amorosa.
Porque meus dedos enlaçaram os dedos da névoa suspensos no espaço.
E eu trouxe até mim a misteriosa essência do teu abandono desordenado.
Eu ficarei só como os veleiros nos pontos silenciosos.
Mas eu te possuirei como ninguém porque poderei partir.
E todas as lamentações do mar, do vento, do céu, das aves, das estrelas.
Serão a tua voz presente, a tua voz ausente, a tua voz serenizada."
61;"Sim, foi por mim que gritei. 
Declamei, 
Atirei frases em volta. 
Cego de angústia e de revolta. 

Foi em meu nome que fiz, 
A carvão, a sangue, a giz, 
Sátiras e epigramas nas paredes 
Que não vi serem necessárias e vós vedes. 

Foi quando compreendi 
Que nada me dariam do infinito que pedi, 
-Que ergui mais alto o meu grito 
E pedi mais infinito! 

Eu, o meu eu rico de baixas e grandezas, 
Eis a razão das épi trági-cómicas empresas 
Que, sem rumo, 
Levantei com sarcasmo, sonho, fumo... 

O que buscava 
Era, como qualquer, ter o que desejava. 
Febres de Mais. ânsias de Altura e Abismo, 
Tinham raízes banalíssimas de egoísmo. 

Que só por me ser vedado 
Sair deste meu ser formal e condenado, 
Erigi contra os céus o meu imenso Engano 
De tentar o ultra-humano, eu que sou tão humano! 

Senhor meu Deus em que não creio! 
Nu a teus pés, abro o meu seio 
Procurei fugir de mim, 
Mas sei que sou meu exclusivo fim. 

Sofro, assim, pelo que sou, 
Sofro por este chão que aos pés se me pegou, 
Sofro por não poder fugir. 
Sofro por ter prazer em me acusar e me exibir! 

Senhor meu Deus em que não creio, porque és minha criação! 
(Deus, para mim, sou eu chegado à perfeição...) 
Senhor dá-me o poder de estar calado, 
Quieto, maniatado, iluminado. 

Se os gestos e as palavras que sonhei, 
Nunca os usei nem usarei, 
Se nada do que levo a efeito vale, 
Que eu me não mova! que eu não fale! 

Ah! também sei que, trabalhando só por mim, 
Era por um de nós. E assim, 
Neste meu vão assalto a nem sei que felicidade, 
Lutava um homem pela humanidade. 

Mas o meu sonho megalómano é maior 
Do que a própria imensa dor 
De compreender como é egoísta 
A minha máxima conquista... 

Senhor! que nunca mais meus versos ávidos e impuros 
Me rasguem! e meus lábios cerrarão como dois muros, 
E o meu Silêncio, como incenso, atingir-te-á, 
E sobre mim de novo descerá... 

Sim, descerá da tua mão compadecida, 
Meu Deus em que não creio! e porá fim à minha vida. 
E uma terra sem flor e uma pedra sem nome 
Saciarão a minha fome."
62;Quem diante do amorousa falar do Inferno?Quem diante do Infernoousa falar do Amor?Ninguém me amaninguém me querninguém me chamade Baudelaire
63;"Entre os teus lábios
é que a loucura acode,
desce à garganta,
invade a água.

No teu peito
é que o pólen do fogo
se junta à nascente,
alastra na sombra.

Nos teus flancos
é que a fonte começa
a ser rio de abelhas,
rumor de tigre.

Da cintura aos joelhos
é que a areia queima,
o sol é secreto,
cego o silêncio.

Deita-te comigo.
Ilumina meus vidros.
Entre lábios e lábios
toda a música é minha."
64;"Contigo aprendi coisas tão simples como
a forma de convívio com o meu cabelo ralo
e a diversa cor que há nos olhos das pessoas
Só tu me acompanhastes súbitos momentos
quando tudo ruía ao meu redor
e me sentia só e no cabo do mundo
Contigo fui cruel no dia a dia
mais que mulher tu és já a minha única viúva
Não posso dar-te mais do te dou
este molhado olhar de homem que morre
e se comove ao ver-te assim presente tão subitamente"
65;"Amor é fogo que arde sem se ver,
é ferida que dói, e não se sente;
é um contentamento descontente,
é dor que desatina sem doer.

É um não querer mais que bem querer;
é um andar solitário entre a gente;
é nunca contentar-se de contente;
é um cuidar que ganha em se perder.

É querer estar preso por vontade;
é servir a quem vence, o vencedor;
é ter com quem nos mata, lealdade.

Mas como causar pode seu favor
nos corações humanos amizade,
se tão contrário a si é o mesmo Amor?"
66;"E por vezes as noites duram meses
E por vezes os meses oceanos
E por vezes os braços que apertamos
nunca mais são os mesmos. E por vezes

encontramos de nós em poucos meses
o que a noite nos fez em muitos anos
E por vezes fingimos que lembramos
E por vezes lembramos que por vezes

ao tomarmos o gosto aos oceanos
só o sarro das noites não dos meses
lá no fundo dos copos encontramos

E por vezes sorrimos ou choramos
E por vezes por vezes ah por vezes
num segundo se evolam tantos anos."
67;"É assim que te quero, amor,
assim, amor, é que eu gosto de ti,
tal como te vestes
e como arranjas
os cabelos e como
a tua boca sorri,
ágil como a água
da fonte sobre as pedras puras,
é assim que te quero, amada,
Ao pão não peço que me ensine,
mas antes que não me falte
em cada dia que passa.
Da luz nada sei, nem donde
vem nem para onde vai,
apenas quero que a luz alumie,
e também não peço à noite explicações,
espero-a e envolve-me,
e assim tu pão e luz
e sombra és.
Chegastes à minha vida
com o que trazias,
feita
de luz e pão e sombra, eu te esperava,
e é assim que preciso de ti,
assim que te amo,
e os que amanhã quiserem ouvir
o que não lhes direi, que o leiam aqui
e retrocedam hoje porque é cedo
para tais argumentos.
Amanhã dar-lhes-emos apenas
uma folha da árvore do nosso amor, uma folha
que há-de cair sobre a terra
como se a tivessem produzido os nosso lábios,
como um beijo caído
das nossas alturas invencíveis
para mostrar o fogo e a ternura
de um amor verdadeiro."
68;"Chamo-Te porque tudo está ainda no princípio 
E suportar é o tempo mais comprido. 

Peço-Te que venhas e me dês a liberdade, 
Que um só dos teus olhares me purifique e acabe. 

Há muitas coisas que eu quero ver. 

Peço-Te que sejas o presente. 
Peço-Te que inundes tudo. 
E que o teu reino antes do tempo venha. 
E se derrame sobre a Terra 
Em primavera feroz pricipitado."
69;"Há palavras que nos beijam 
Como se tivessem boca, 
Palavras de amor, de esperança, 
De imenso amor, de esperança louca. 

Palavras nuas que beijas 
Quando a noite perde o rosto, 
Palavras que se recusam 
Aos muros do teu desgosto. 

De repente coloridas 
Entre palavras sem cor, 
Esperadas, inesperadas 
Como a poesia ou o amor. 

(O nome de quem se ama 
Letra a letra revelado 
No mármore distraído, 
No papel abandonado) 

Palavras que nos transportam 
Aonde a noite é mais forte, 
Ao silêncio dos amantes 
Abraçados contra a morte."
70;"Tu eras também uma pequena folha
que tremia no meu peito.
O vento da vida pôs-te ali.
A princípio não te vi: não soube
que ias comigo,
até que as tuas raízes
atravessaram o meu peito,
se uniram aos fios do meu sangue,
falaram pela minha boca,
floresceram comigo."
71;"Nunca são as coisas mais simples que aparecem quando as esperamos. O que é mais simples, como o amor, ou o mais evidente dos sorrisos, não se encontra no curso previsível da vida. Porém, se nos distraímos do calendário, ou se o acaso dos passos nos empurrou para fora do caminho habitual, então as coisas são outras. Nada do que se espera transforma o que somos se não for isso: um desvio no olhar; ou a mão que se demora no teu ombro, forçando uma aproximação dos lábios."
72;"Devias estar aqui rente aos meus lábios
para dividir contigo esta amargura
dos meus dias partidos um a um

- Eu vi a terra limpa no teu rosto,
Só no teu rosto e nunca em mais nenhum"
73;"Temos, todos que vivemos,
Uma vida que é vivida
E outra vida que é pensada,
E a única vida que temos
É essa que é dividida
Entre a verdadeira e a errada."
74;"Que pode uma criatura senão,
entre outras criaturas, amar?
amar e esquecer,
amar e malamar,
amar, desamar, amar?
sempre, e até de olhos vidrados, amar?"
75;"Hoje roubei todas as rosas dos jardins
e cheguei ao pé de ti de mãos vazias."
76;"Nomeei-te no meio dos meus sonhos
chamei por ti na minha solidão
troquei o céu azul pelos teus olhos
e o meu sólido chão pelo teu amor"
77;"Quem construiu Tebas, a das sete portas?
Nos livros vem o nome dos reis,
Mas foram os reis que transportaram as pedras?
Babilónia, tantas vezes destruida,
Quem outras tantas a reconstruiu? Em que casas
Da Lima Dourada moravam seus obreiros?
No dia em que ficou pronta a Muralha da China para onde
Foram os seus pedreiros? A grande Roma
Está cheia de arcos de triunfo. Quem os ergueu? Sobre quem
Triunfaram os Césares? A tão cantada Bizâncio
Sò tinha palácios
Para os seus habitantes? Até a legendária Atlântida
Na noite em que o mar a engoliu
Viu afogados gritar por seus escravos.

O jovem Alexandre conquistou as Indias
Sózinho?
César venceu os gauleses.
Nem sequer tinha um cozinheiro ao seu serviço?
Quando a sua armada se afundou Filipe de Espanha
Chorou. E ninguém mais?
Frederico II ganhou a guerra dos sete anos
Quem mais a ganhou?

Em cada página uma vitòria.
Quem cozinhava os festins?
Em cada década um grande homem.
Quem pagava as despesas?

Tantas histórias
Quantas perguntas"
78;"Cai
    a pluma
    rítmico suspense do sinistro
    nas espumas primordiais
    de onde há pouco sobressaltara seu delírio a um cimo fenescido
    pela neutralidade idêntica do abismo


"
79;"Desconfiai do mais trivial, na aparência singelo.
E examinai, sobretudo, o que parece habitual.
Suplicamos expressamente: não aceiteis o que é de hábito como coisa natural, pois em tempo de desordem sangrenta, de confusão organizada, de arbitrariedade consciente, de humanidade desumanizada, nada deve parecer natural nada deve parecer impossível de mudar."
80;"Eles não sabem que o sonho
é uma constante da vida
tão concreta e definida
como outra coisa qualquer,
como esta pedra cinzenta
em que me sento e descanso,
como este ribeiro manso
em serenos sobressaltos,
como estes pinheiros altos
que em verde e oiro se agitam,
como estas aves que gritam
em bebedeiras de azul.

Eles não sabem que o sonho
é vinho, é espuma, é fermento,
bichinho álacre e sedento,
de focinho pontiagudo,
que fossa através de tudo
num perpétuo movimento.

Eles não sabem que o sonho
é tela, é cor, é pincel,
base, fuste, capitel,
arco em ogiva, vitral,
pináculo de catedral,
contraponto, sinfonia,
máscara grega, magia,
que é retorta de alquimista,
mapa do mundo distante,
rosa-dos-ventos, Infante,
caravela quinhentista,
que é Cabo da Boa Esperança,
ouro, canela, marfim,
florete de espadachim,
bastidor, passo de dança,
Colombina e Arlequim,
passarola voadora,
pára-raios, locomotiva,
barco de proa festiva,
alto-forno, geradora,
cisão do átomo, radar,
ultra-som, televisão,
desembarque em foguetão
na superfície lunar.

Eles não sabem, nem sonham,
que o sonho comanda a vida.
Que sempre que um homem sonha
o mundo pula e avança
como bola colorida
entre as mãos de uma criança."
81;"Desejo primeiro que você ame,
E que amando, também seja amado.
E que se não for, seja breve em esquecer.
E que esquecendo, não guarde mágoa.
Desejo, pois, que não seja assim,
Mas se for, saiba ser sem desesperar.
Desejo também que tenha amigos,
Que mesmo maus e inconseqüentes,
Sejam corajosos e fiéis,
E que pelo menos num deles
Você possa confiar sem duvidar.
E porque a vida é assim,
Desejo ainda que você tenha inimigos.
Nem muitos, nem poucos,
Mas na medida exata para que, algumas vezes,
Você se interpele a respeito
De suas próprias certezas.
E que entre eles, haja pelo menos um que seja justo,
Para que você não se sinta demasiado seguro.
Desejo depois que você seja útil,
Mas não insubstituível.
E que nos maus momentos,
Quando não restar mais nada,
Essa utilidade seja suficiente para manter você de pé.
Desejo ainda que você seja tolerante,
Não com os que erram pouco, porque isso é fácil,
Mas com os que erram muito e irremediavelmente,
E que fazendo bom uso dessa tolerância,
Você sirva de exemplo aos outros.
Desejo que você, sendo jovem,
Não amadureça depressa demais,
E que sendo maduro, não insista em rejuvenescer
E que sendo velho, não se dedique ao desespero.
Porque cada idade tem o seu prazer e a sua dor e
É preciso deixar que eles escorram por entre nós.
Desejo por sinal que você seja triste,
Não o ano todo, mas apenas um dia.
Mas que nesse dia descubra
Que o riso diário é bom,
O riso habitual é insosso e o riso constante é insano.
Desejo que você descubra ,
Com o máximo de urgência,
Acima e a respeito de tudo, que existem oprimidos,
Injustiçados e infelizes, e que estão à sua volta.
Desejo ainda que você afague um gato,
Alimente um cuco e ouça o joão-de-barro
Erguer triunfante o seu canto matinal
Porque, assim, você sesentirá bem por nada.
Desejo também que você plante uma semente,
Por mais minúscula que seja,
E acompanhe o seu crescimento,
Para que você saiba de quantas
Muitas vidas é feita uma árvore.
Desejo, outrossim, que você tenha dinheiro,
Porque é preciso ser prático.
Eque pelo menos uma vez por ano
Coloque um pouco dele
Na sua frente e diga `Isso é meu`,
Só para que fique bem claro quem é o dono dequem.
Desejo também que nenhum de seus afetos morra,
Por ele e por você,
Mas que se morrer, você possa chorar
Sem se lamentar esofrer sem se culpar.
Desejo por fim que você sendo homem,
Tenha uma boa mulher,
E que sendo mulher,
Tenha um bom homem
Eque se amem hoje, amanhã e nos dias seguintes,
E quando estiverem exaustos e sorridentes,
Ainda haja amor para recomeçar.
E se tudo isso acontecer,
Não tenho mais nada a te desejar."
